"Table Attributes","Table Attributes"
"URL key for specified store already exists.","URL key for specified store already exists."
Table,Table
"Manage Columns","Manage Columns"
Type,Type
"Add Column","Add Column"
"Column Name","Column Name"
Delete,Delete
"No table type attributes available","No table type attributes available"
Add,Add
"No charts available for this product","No charts available for this product"
Webkul,Webkul
"Product Table Atribute","Product Table Atribute"
"General Settings","General Settings"
"Attribute Set ID","Attribute Set ID"
Charts,Charts
